key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,ShopName,,,,,,,,,,,,,,,,,
int32,str,int32,int32,int32,int32,int32,int32,int32,int32,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,bit&01
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
3473409,"Récupérateur",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True
3473410,"Monétisation (chèques)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473411,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473412,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473413,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473414,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473415,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473416,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473417,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473418,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473420,"Échange de pages de notes (coffres verrouillés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473421,"Échange de pages de notes (divers)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473422,"Échange de pages de notes (divers)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
3473423,"不用品の交換",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
