key,0,1
#,,
int32,int32,str
0,111106,"Toutes les opérations effectuées sur Sinus Ardorum en vue de la conquête spatiale sont enfin terminées !
C'est grâce aux efforts assidus de tous ceux qui ont pris part au projet que nous pouvons à présent faire notre premier grand saut depuis la station sélenienne vers des terres inconnues.  Merci à vous, vous avez toute notre gratitude !

Nous espérons que vous resterez à nos côtés pour les futures activités du projet et pour découvrir avec nous d'autres astres inexplorés.

Avec tous nos re<SoftHyphen/>mer<SoftHyphen/>cie<SoftHyphen/>ments,
Les Loporrites"
1,111107,"Tous les objectifs que nous avions fixés sur Phaenna sont désormais atteints<Indent/>!
C'est grâce aux efforts assidus de tous ceux qui ont pris part au projet que nous avons pu achever le Stellascope, instrument in<SoftHyphen/>dis<SoftHyphen/>pen<SoftHyphen/>sa<SoftHyphen/>ble à l'observation des étoiles les plus lointaines. Merci à vous, vous avez toute notre gratitude !
Nous espérons que vous resterez à nos côtés pour les futures activités du projet et pour découvrir avec nous d'autres astres inexplorés.

Avec tous nos re<SoftHyphen/>mer<SoftHyphen/>cie<SoftHyphen/>ments,
Les Loporrites"
2,111108,"Notre exploration d'Oizys est enfin terminée<Indent/>!
C'est encore grâce aux efforts assidus de tous ceux qui ont pris part au projet que nous avons pu réactiver l'euèdre. Je ne doute pas que l'analyse de son im<SoftHyphen/>pres<SoftHyphen/>sion<SoftHyphen/>nante base de données finira par nous mettre sur la piste de notre prochaine destination cosmique<Indent/>! Merci à vous, vous avez toute notre gratitude !
Nous espérons que vous resterez à nos côtés pour les futures activités du projet et pour découvrir avec nous d'autres astres inexplorés.

Avec tous nos re<SoftHyphen/>mer<SoftHyphen/>cie<SoftHyphen/>ments,
Les Loporrites"
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
