key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,bit&01,uint16,byte,uint16,bit&02,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,str,str,str,str,str,str,str,str,str,str,str
0,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
1,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
2,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
3,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
4,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
5,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
6,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
7,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
8,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
9,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
10,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
11,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
12,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
13,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
14,0,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","",""
15,3,0,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,"必要MGP：<Format(IntegerParameter(1),FF022C)/>MGP","やる","やる(無料券)","キャンセル","","","","","","",""
16,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Acheter un billet de Mini Cactpot pour <Value>IntegerParameter(1)</Value> PGS<Indent/>?
[PGS possédés<Indent/>: <Format(IntegerParameter(2),FF05021D0103)/>]","Oui","Non","","","","","","","",""
17,1,0,False,44,2,0,False,0,0,0,0,0,0,0,0,0,0,"Je regrette, mais vous n'avez pas assez de points du Gold Saucer pour acheter un billet. Allez voir l'agent de change, de l'autre côté du comptoir, il s'occupera de vous.","","","","","","","","","",""
18,1,0,False,45,2,0,False,0,0,0,0,0,0,0,0,0,0,"Je suis désolé, mais vous avez déjà tenté votre chance trois fois aujourd'hui. Prenez votre mal en patience et revenez me voir demain.","","","","","","","","","",""
19,1,0,False,16,2,764,False,0,0,0,0,0,0,0,0,0,0,"Aujourd'hui, c'est le <Format(IntegerParameter(3),FF05021D0103)/><If(LessThanOrEqualTo(IntegerParameter(3),1))>er<Else/>e</If> tirage du Mini Cactpot. <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Allez-vous décrocher le gros lot<Indent/>?<Else/>La chance vous sourira-t-elle<Indent/>?</If><Else/><If(LessThan(PlayerParameter(11),17))>Ce nombre vous portera-t-il bonheur<Indent/>?<Else/>Allez-vous décrocher le gros lot<Indent/>?</If></If> Il n'y a qu'une seule façon de le savoir<Indent/>!","","","","","","","","","",""
20,1,0,False,21,2,764,False,0,0,0,0,0,0,0,0,0,0,"Par les Douze, c'est une catastrophe<Indent/>! Je venais à peine de recueillir un pauvre petit poussin chocobo perdu et sans défense, quand des Gobelins sont venus nous chercher des noises<Indent/>!","","","","","","","","","",""
21,1,0,False,158,2,0,False,0,0,0,0,0,0,0,0,0,0,"Ils ont mis le bazar avec leurs bombes et le poussin était com<SoftHyphen/>plè<SoftHyphen/>te<SoftHyphen/>ment affolé... Du coup, il s'est enfui au sommet du Mont Corel. S'il vous plaît, ramenez-le sain et sauf<Indent/>!","","","","","","","","","",""
22,1,0,False,23,2,764,False,0,0,0,0,0,0,0,0,0,0,"Vous avez fait preuve d'une vaillance exemplaire, c'était beau à voir<Indent/>! Mal<SoftHyphen/>heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment, le poussin chocobo est toujours coincé au sommet du Mont Corel... Faites vite avant qu'il ne lui arrive malheur<Indent/>!","","","","","","","","","",""
23,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Voulez-vous réessayer<Indent/>?","Oui","Non","","","","","","","",""
24,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Merci beaucoup d'avoir sauvé la vie du poussin<Indent/>! Autant vous prévenir tout de suite, il ne tient pas en place et ça ne m'étonnerait pas qu'il se retrouve dans le même pétrin très bientôt. Si jamais cela arrivait, j'espère que nous pourrons compter sur votre aide à nouveau<Indent/>!","","","","","","","","","",""
25,1,0,False,140,2,0,False,0,0,0,0,0,0,0,0,0,0,"Dites, pourriez-vous me rendre un service<Indent/>? J'ai besoin d'un<If(PlayerParameter(4))>e aventurière<Else/> aventurier</If> chevronné<If(PlayerParameter(4))>e<Else/></If> comme vous pour livrer la commande sans se faire repérer par les voleurs. Faites bien attention surtout, il est ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment fragile<Indent/>!","","","","","","","","","",""
26,1,0,False,143,2,0,False,0,0,0,0,0,0,0,0,0,0,"Dites, pourriez-vous me rendre un service<Indent/>? J'ai besoin d'un<If(PlayerParameter(4))>e aventurière<Else/> aventurier</If> chevronné<If(PlayerParameter(4))>e<Else/></If> comme vous pour livrer la commande sans se faire repérer par les voleurs. Faites bien attention surtout, il est ex<SoftHyphen/>trê<SoftHyphen/>me<SoftHyphen/>ment fragile<Indent/>!","","","","","","","","","",""
27,1,0,False,28,2,764,False,0,0,0,0,0,0,0,0,0,0,"À l'aide, à l'aide<Indent/>! Je venais à peine de recueillir un poussin chocobo égaré et sans défense, quand des Gobelins sont venus nous jouer un sale tour<Indent/>!","","","","","","","","","",""
28,1,0,False,159,2,0,False,0,0,0,0,0,0,0,0,0,0,"Ils ont fait exploser plein de vilaines bombes et à cause d'eux, le poussin a eu la peur de sa courte vie... Du coup, il est allé se réfugier sur la tête de Coloso et n'arrive plus à descendre<Indent/>! Je vous en prie, allez l'aider avant qu'il finisse comme une crêpe<Indent/>!","","","","","","","","","",""
29,1,0,False,30,2,764,False,0,0,0,0,0,0,0,0,0,0,"Il n'y a pas à dire, vous êtes vraiment très courageu<If(PlayerParameter(4))>se<Else/>x</If>, mais le poussin est toujours coincé sur la tête de Coloso<Indent/>! Dépêchez-vous avant qu'il ne soit trop tard<Indent/>!","","","","","","","","","",""
30,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Voulez-vous réessayer<Indent/>?","Oui","Non","","","","","","","",""
31,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Merci infiniment<Indent/>! Grâce à vous, le poussin est hors de danger. Le problème, c'est qu'il a la bougeotte et ça ne me sur<SoftHyphen/>pren<SoftHyphen/>drait pas s'il se retrouvait à nouveau dans une situation difficile... N'hésitez pas à repasser de temps à autre, on ne sait jamais<Indent/>!","","","","","","","","","",""
32,1,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Votre sac est si plein que je n'arrive pas à ranger votre lot. Faites un peu de place et revenez me voir.","","","","","","","","","",""
33,1,0,True,100,2,764,False,0,0,0,0,0,0,0,0,0,0,"Vous êtes en possession d'un billet de Méga Cactpot, vous dites<Indent/>? Très bien. Voyons voir combien de bons numéros vous avez...","","","","","","","","","",""
34,1,0,False,35,2,764,False,0,0,0,0,0,0,0,0,0,0,"Tiens, tiens... Vous m'avez l'air d'être quelqu'un de talentueux, et je ne dis pas ça tous les jourrrs, croyez-moi. Ça vous dirait de prendre une leçon de danse<Indent/>?","","","","","","","","","",""
35,1,0,False,37,2,0,False,0,0,0,0,0,0,0,0,0,0,"Pour ce faire, il vous suffit de monter sur la scène et d'imiter les mouvements de mes danseurs étoiles. Je serais currrieuse de voir si vous êtes capable de faire un sans-faute<Indent/>!","","","","","","","","","",""
36,2,0,False,0,2,764,False,0,0,0,0,0,0,0,0,0,0,"Voulez-vous aller sur la scène<Indent/>?","Oui","Non","","","","","","","",""
37,1,7,False,277,2,0,False,0,0,0,0,0,0,0,0,0,0,"Les danseurs exécutent quatre emotes à la suite. Observez bien leurs mouvements et utilisez les mêmes emotes après eux. Vous pouvez vous servir de la barre de raccourcis spéciale.","","","","","","","","","",""
38,1,0,False,39,2,764,False,0,0,0,0,0,0,0,0,0,0,"Il s'agit d'un bonus qui s'améliore au fur et à mesure que le nombre de par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants augmente. Voilà pourquoi vous avez tout intérêt à convaincre vos amis de jouer avec vous<Indent/>!","","","","","","","","","",""
39,1,7,False,40,0,0,False,0,0,0,0,0,0,0,0,0,0,"Le bonus de par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pa<SoftHyphen/>tion est divisé en 7 rangs. Plus le nombre de par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants au Méga Cactpot augmente, plus le rang s'élève et accroît la quantité de PGS reçus en récompense.","","","","","","","","","",""
40,1,7,False,105,0,0,False,0,0,0,0,0,0,0,0,0,0,"Il est possible de consulter l'état du bonus à tout moment en s'adressant à la courtière et en choisissant l'option “Voir l'état du bonus de par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pa<SoftHyphen/>tion”.","","","","","","","","","",""
