key,0,1
#,,
int32,uint32,str
0,0,""
1,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
2,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
3,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
4,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
5,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
6,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
7,4,"Un poussin chocobo s'est retrouvé coincé au sommet du Mont Corel<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
8,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
9,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
10,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
11,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
12,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
13,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
14,4,"Un poussin chocobo s'est retrouvé coincé sur la tête de Coloso<Indent/>! Évitez les bombes des Gobelins et sauvez la pauvre bête<Indent/>!"
