key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,OutputType,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,,,
int32,uint32,bit&01,bit&02,bit&04,byte,byte,uint32,single,single,bit&08,bit&10,byte,byte,str,uint16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"0",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"Ohé<Indent/>! Aidez-moi<Indent/>!",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"Attention ! Les anolis approchent !",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"Les imps arrivent<Indent/>! Ne les laissez surtout pas s'échapper<Indent/>!",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"Bordel<Indent/>! Y en a trop !",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"Les taons ! Il y en a parrrtout !",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"Sylphes en approche ! Tous à vos armes !",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"Mais d'où viennent toutes ces créatures !?",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"Il faut sécuriser les routes !",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"Donnons une leçon à ces racailles !",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"Attention<Indent/>! Ils en ont après les fèves !",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"Haro<Indent/>! Haro<Indent/>! Des Ixali nous attaquent !",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"Des ziz... ici !?",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"Regardez, ils reviennent à la charge !",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"Prudence. Quelque chose excite les opo-opo.",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"Ça va pas ! Il faut changer de stratégie<Indent/>!",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"Pas de quartier !",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"Quelqu'un pourrait-il nous aider ?",0
