key,0,1,2
#,,,
int32,bit&01,str,str
0,False,"無効","無効"
100,True,"Aventures<Indent/>:","Partez en voyage comme le cœur vous en dit."
101,True,"","Vous devriez aller visiter un endroit pour la première fois."
102,True,"","Ouvrez votre carnet d'exploration et revisitez un lieu de vos souvenirs."
103,True,"","Vos voyages se dérouleront sous un ciel clément."
104,True,"","Visiter une cité fréquentée vous sera bénéfique."
105,True,"","Une heureuse rencontre vous attend dans un lointain salon de thé."
106,True,"","Vous gagnerez à fréquenter une personne de forte carrure."
200,True,"Relations<Indent/>:","Soyez là pour ceux qui croient en vous et vous encouragent."
201,True,"","Il sera bon de renouer avec des liaisons du passé."
202,True,"","N'oubliez pas de remercier vos compagnons de voyage pour leur aide."
203,True,"","Une personne guidée par les étoiles se trouve près de vous."
204,True,"","Accorder vos pas à ceux de vos camarades vous sera bénéfique."
205,True,"","Vous serez toujours en bonne compagnie. Avancez sans crainte vers l'inconnu."
206,True,"","De bonnes relations avec les peuples alliés vous assureront la richesse."
300,True,"Fortune<Indent/>:","Oubliez toute cupidité pour remporter quantité de trophées."
301,True,"","La fortune vous tend les bras au Gold Saucer."
302,True,"","Ouvrez une carte au trésor pour découvrir des merveilles."
303,True,"","Ouvrez des coffres au trésor au gré de vos envies."
304,True,"","Soyez honnête en affaires pour remporter un franc succès."
305,True,"","La fidélité en amitié est toujours récompensée."
306,True,"","Remerciez votre servant quand vous obtiendrez un bien précieux."
400,True,"Combats<Indent/>:","N'ayez pas peur de défier de puissants ennemis pour progresser."
401,True,"","Travaillez in<SoftHyphen/>las<SoftHyphen/>sa<SoftHyphen/>ble<SoftHyphen/>ment vos techniques pour trouver la vérité."
402,True,"","Observez at<SoftHyphen/>ten<SoftHyphen/>ti<SoftHyphen/>ve<SoftHyphen/>ment vos alliés pour accomplir des progrès."
403,True,"","Apprendre une nouvelle discipline vous permettra de grandir."
404,True,"","Travaillez in<SoftHyphen/>las<SoftHyphen/>sa<SoftHyphen/>ble<SoftHyphen/>ment vos techniques pour trouver la vérité."
405,False,"",""
406,False,"",""
500,True,"Destinée<Indent/>:","Combattez telle Halone pour remporter la victoire."
501,True,"","Aimez telle Menphina pour conquérir les cœurs."
502,True,"","Embrasez-vous telle Azeyma pour trouver la voie."
503,True,"","Persévérez telle Llymlaen et les vents vous seront favorables."
504,True,"","Soyez <If(PlayerParameter(4))>curieuse<Else/>curieux</If> tel Oschon et vos voyages seront passionnants."
1100,True,"Aventures<Indent/>:","Voyagez <If(PlayerParameter(4))>seule<Else/>seul</If> pour trouver le calme et la sérénité."
1101,True,"","Revivez une épopée passée pour faire de nouvelles découvertes."
1102,True,"","Prenez part à une célébration éphémère au tournant des saisons."
1103,True,"","Soyez à l'écoute des habitants pour entendre de nouvelles histoires."
1104,True,"","Explorez un endroit inconnu pour faire une découverte inattendue."
1105,True,"","Prêtez attention aux noms des gens et vous ferez une belle rencontre."
1106,True,"","Une trépidante aventure vous attend dans un lieu baigné de lumière."
1200,True,"Relations<Indent/>:","Préparez-vous à faire une rencontre surprenante."
1201,True,"","Vous ferez une rencontre unique qui se révélera fructueuse."
1202,True,"","Vous aurez intérêt à prendre les devants pour réunir vos camarades."
1203,True,"","Pour remercier ceux qui vous ont <If(PlayerParameter(4))>aidée<Else/>aidé</If>, aidez-les à votre tour."
1204,True,"","Les meilleures relations ne partent pas toujours du bon pied."
1205,True,"","Une rhapsodie amoureuse est sur le point de naître. Renouez avec vos vieux rêves."
1206,True,"","Une coopération par<SoftHyphen/>fai<SoftHyphen/>te<SoftHyphen/>ment synchronisée pavera la voie vers les étoiles."
1300,True,"Fortune<Indent/>:","Votre audace sera récompensée au Gold Saucer."
1301,True,"","Prenez la mer et vous ferez bonne pêche."
1302,True,"","Investissez et faites construire la maison dont vous avez toujours rêvé."
1303,True,"","Remplacez vos possessions de longue date par des nouvelles."
1304,True,"","Saisissez la bonne occasion de commercer pour rencontrer le succès."
1305,True,"","Suivez la lune et les étoiles pour trouver la fortune."
1306,True,"","Rendez visite à vos clients habituels pour un profit assuré."
1400,True,"Combats<Indent/>:","C'est le moment idéal pour s'entraîner assidûment."
1401,True,"","Redoublez d'efforts et vous en récolterez les fruits."
1402,True,"","Si vous jouez au mahjong, les tuiles seront de votre côté."
1403,True,"","Parcourez les contrées à la poursuite de cibles renommées."
1404,True,"","Redoublez d'efforts et vous en récolterez les fruits."
1405,False,"",""
1406,False,"",""
1500,True,"Destinée<Indent/>:","Soyez raisonnable telle Nymeia et le destin vous sera favorable."
1501,True,"","Soyez intrépide tel Rhalgr et aucun adversaire ne vous résistera."
1502,True,"","Soyez <If(PlayerParameter(4))>inventive<Else/>inventif</If> tel Byregot pour per<SoftHyphen/>fec<SoftHyphen/>tion<SoftHyphen/>ner votre artisanat."
1503,True,"","Soyez <If(PlayerParameter(4))>clairvoyante<Else/>clairvoyant</If> tel Nald'thal et vos affaires fleuriront."
1504,True,"","Soyez <If(PlayerParameter(4))>tolérante<Else/>tolérant</If> telle Nophica et vous créerez de nouveaux liens."
2100,True,"Aventures<Indent/>:","Restez fidèle à vos convictions pour trouver la voie."
2101,True,"","Face au mystère, appelez à l'aide le gentilhomme détective."
2102,True,"","Intéressez-vous à l'histoire des contrées traversées pour y faire des découvertes."
2103,True,"","Prenez la pose en groupe pour garder des souvenirs de vos voyages."
2104,True,"","Faites confiance à la providence pour vous aider à progresser."
2105,True,"","Goûtez au repos de l'esprit sur une île solitaire."
2106,True,"","Pèlerinez en un lieu intimement lié au nombre douze."
2200,True,"Relations<Indent/>:","Sachez vous montrer <If(PlayerParameter(4))>re<SoftHyphen/>con<SoftHyphen/>nais<SoftHyphen/>sante<Else/>re<SoftHyphen/>con<SoftHyphen/>nais<SoftHyphen/>sant</If> pour entretenir de bonnes relations."
2201,True,"","Prenez soin de vos amis, ils sont ce que vous avez de plus précieux."
2202,True,"","N'ayez pas peur d'échanger avec des aventuriers de contrées lointaines."
2203,True,"","Exprimez-vous aussi avec des gestes pour être <If(PlayerParameter(4))>comprise<Else/>compris</If>."
2204,True,"","N'attendez pas qu'on vienne vous chercher pour former votre groupe."
2205,True,"","Partagez sans retenue. Vos vertus seront récompensées."
2206,True,"","Vous vous ferez un ami sur le champ de bataille. Combattez dans l'arène, et visez toujours plus haut."
2300,True,"Fortune<Indent/>:","De petites économies naîtra un grand profit."
2301,True,"","Si vous en avez envie, c'est le moment idéal pour déménager."
2302,True,"","Partez récolter et la nature vous récompensera."
2303,True,"","Vous vous enrichirez par l'intermédiaire d'un ami."
2304,True,"","Sous les mers ou dans les cieux, lancez une expédition d'exploration."
2305,True,"","Festoyez dans l'arène pour couvrir de gloire votre nom."
