key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
#,Name,Category,,Description,DutyType,,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,,ItemLevel{Required},,,Icon,ContentRouletteRoleBonus,Reward{TomeA},Reward{TomeB},Reward{TomeC},,,,SortKey,,ContentMemberType,,,,,,,,,,,RequireAllDuties,,ContentRouletteOpenRule,InstanceContent,,,,,,,,
int32,str,str,str,str,str,byte,uint32,bit&01,bit&02,ContentRouletteOpenRule,bit&04,byte,byte,uint16,bit&08,uint16,Image,ContentRouletteRoleBonus,uint16,uint16,uint16,uint32,uint16,uint32,byte,byte,ContentMemberType,byte,byte,sbyte,bit&10,byte,byte,byte,byte,bit&20,bit&40,bit&80,bit&01,bit&02,InstanceContent,uint16,bit&04,byte,bit&08,bit&10,bit&20,int32,byte
0,"","","","","",0,0,False,False,1,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,False,0,0,0,0,True,False,True,False,False,0,0,False,0,False,True,True,0,0
1,"Zufallsinhalt: Stufensteigerung","Stufensteigerung","","Aus den freigeschalteten Dungeons und Prüfungen für Leichte Trupps wird ein Inhalt zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons und Prüfungen für Leichte Trupps",0,0,False,True,1,False,16,16,0,False,0,112034,1,0,100,20,0,0,0,4,142,2,0,0,0,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
2,"Zufallsinhalt: Hohe Stufen","Hohe Stufen","","Aus den freigeschalteten Dungeons für Leichte Trupps für die Stufen 50, 60, 70, 80 und 90 wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons (St. 50/60/70/80/90) für Leichte Trupps",0,0,False,True,1,False,50,50,45,False,0,112035,2,100,120,0,0,0,0,3,142,2,0,0,1,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
3,"Zufallsinhalt: Hauptszenario","Hauptszenario","","Aus den freigeschalteten Dungeons des Hauptszenarios wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Videosequenzen der Dungeons können nicht übersprungen werden.
※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als Teilgruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons für Volle Trupps",0,0,False,True,1,False,50,50,42,False,0,112036,3,350,100,50,0,0,0,6,142,2,0,0,2,True,1,0,60,120,True,True,True,False,False,2,0,False,0,False,True,True,0,0
4,"Zufallsinhalt: Gildengeheiß","Gildengeheiß","","Aus den freigeschalteten Gildengeheißen wird eines zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.
※ Für bereits vollständige Vierer-Gruppen werden nur Inhalte für Vierer-Gruppen ausgewählt. Hierbei ist jede Zusammensetzung erlaubt.
※ In manchen Inhalten können Phönixfedern nicht verwendet werden.","Gildengeheiße",0,0,False,True,1,False,10,10,0,False,0,112037,4,0,0,0,0,0,0,7,142,3,0,0,3,True,1,0,30,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
5,"Zufallsinhalt: Experte","Experte","","Aus den freigeschalteten Experten-Dungeons wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.
※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Experten-Dungeons für Leichte Trupps",5,0,False,True,2,False,100,100,735,False,0,112057,5,0,60,40,0,0,0,1,142,2,0,0,4,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
6,"Zufallsinhalt: Prüfung","Prüfung","","Aus den freigeschalteten Prüfungen für Volle Trupps wird eine zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.
※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Prüfungen für Volle Trupps",0,0,False,True,1,False,50,50,90,False,0,112056,6,0,60,15,0,0,0,5,142,3,0,0,5,True,1,0,60,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
7,"Tagesherausforderung: PvP-Front","PvP-Front","","Teilnahme am aktuellen PvP-Front-Tageskampf (aufgeführt unter <UIForeground>F201F4</UIForeground><UIGlow>F201F5</UIGlow>Information<UIGlow>01</UIGlow><UIForeground>01</UIForeground>). Bei erfolgreichem Abschluss winkt eine Sondervergütung.

※ Die Sondervergütung für Tagesherausforderungen kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <ResetTime>01</ResetTime><If(TopLevelParameter(218))><Switch(TopLevelParameter(218))><Case(1)>1</Case><Case(2)>2</Case><Case(3)>3</Case><Case(4)>4</Case><Case(5)>5</Case><Case(6)>6</Case><Case(7)>7</Case><Case(8)>8</Case><Case(9)>9</Case><Case(10)>10</Case><Case(11)>11</Case><Case(12)>12</Case><Case(13)>13</Case><Case(14)>14</Case><Case(15)>15</Case><Case(16)>16</Case><Case(17)>17</Case><Case(18)>18</Case><Case(19)>19</Case><Case(20)>20</Case><Case(21)>21</Case><Case(22)>22</Case><Case(23)>23</Case></Switch><Else/>0</If>:00 Uhr zurückgesetzt.
","Onsal Hakair (Danshig Naadam)",0,0,False,True,3,True,30,30,0,False,0,112083,0,0,50,20,1000,1000,1500,15,146,24,0,0,6,True,1,28,20,0,True,True,True,False,False,0,0,False,0,False,True,True,0,0
