key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_000","... Et voilà<Indent/>! Notre arme fantôme est dotée d'un noyau tout nouveau, tout beau."
1,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_001","Prochaine étape, on dissipe les illusions<Indent/>!"
2,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_002","Couteau de cuisine fantôôôme<Indent/>!!!"
3,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_003","Cette fois encore, tout s'est passé <Emphasis>exactement</Emphasis> comme je l'avais prévu. Les illusions ont disparu, et l'arme a rien perdu de son pouvoir."
4,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_004","Voilà à quoi ressemble la toute-puissance dans sa forme la plus pure, j'ai nommé... <SheetFr(Item,2,IntegerParameter(1),1,1)/><Indent/>!"
5,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_005","Voilà à quoi ressemble la toute-puissance dans sa forme la plus pure, j'ai nommé... <SheetFr(Item,2,IntegerParameter(1),1,1)/> et <SheetFr(Item,2,IntegerParameter(2),1,1)/><Indent/>!"
6,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_006","Comme tu le sais, il nous reste encore à finaliser ton arme fantôme avec le contenu du cristal de savoir."
7,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_007","T'inquiète pas pour l'écliptite, il m'en reste encore quelques morceaux. Si t'es <If(PlayerParameter(4))>prête<Else/>prêt</If> à continuer, c'est chez Dodokkuli que ça se passe<Indent/>!"
8,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_008","Attends, c'est pas fini<Indent/>! Ton arme a encore du potentiel en réserve... Ça serait bête de s'arrêter en si bon chemin, tu crois pas<Indent/>?"
