key,0,1
#,,
int32,str,str
0,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_000","So, ein neuer Phantomwaffen-Kern aus <Sheet(Item,50977,9)/>, frisch vom Amboss."
1,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_001","Jetzt kann ich bedenkenlos mit dem Phantom-Küchenmesser drauflosschneiden. Und runter mit den Illusionen!"
2,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_002","<Emphasis>Muahahahahaha!</Emphasis>"
3,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_003","Hehe, und wieder ein voller Erfolg! Kein bisschen Illusion mehr übrig. Nur die Waffe selbst, mit allen Verstärkungen und komplett uneingeschränkt!"
4,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_004","Das ist die wahre Form deiner Phantomwaffe<Indent/>... <Clickable(<SheetDe(Item,2,IntegerParameter(1),1,1,1)/>)/>!"
5,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_005","Das ist die wahre Form deiner Phantomwaffe<Indent/>... <Clickable(<SheetDe(Item,2,IntegerParameter(1),1,1,1)/>)/> und <SheetDe(Item,2,IntegerParameter(2),1,1,1)/>!"
6,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_006","Aber vergiss nich', da steckt noch mehr Potenzial in dem Teil drin. Erst nachdem wir die Waffe mit deinen Kampferinnerungen individuell an dich angepasst haben, is' sie wirklich vollendet!"
7,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_007","Wir haben noch genug <Sheet(Item,50977,9)/> übrig, um das sofort zu erledigen. Gib deine Phantomwaffe einfach an Dodokkuli weiter, der kümmert sich um den Rest."
8,"TEXT_CTSMKDWEPTRADE4_00979_GEROLT_000_008","Aber vergiss nich', da steckt noch mehr Potenzial in dem Teil drin. Wir sind so weit gekommen, da können wir doch hier nich' aufgeben, findeste nich' auch?"
